Categories,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
NETWORK-Availability of information needed to plan a trip,4.40,4.56,4.39,4.37,4.42,4.52
NETWORK-Ease of transferring,,4.42,4.36,4.37,3.82,4.11
NETWORK-Ease of using the service overall,4.56,4.73,4.60,4.68,4.69,4.66
NETWORK-Frequency of services,4.01,4.58,4.22,4.04,4.43,4.50
OFF BOARD-Accessibility of the station / stop / terminal,4.55,4.77,4.45,4.64,4.70,4.76
OFF BOARD-Availability of information at the station / stop / terminal,4.59,4.49,4.28,4.54,4.58,4.67
OFF BOARD-Cleanliness at the station / stop / terminal,4.66,4.53,4.44,4.57,4.55,4.77
OFF BOARD-Convenience of starting location,4.53,4.48,4.40,4.66,4.38,4.65
OFF BOARD-Feeling safe at the station / stop / terminal,4.69,4.67,4.56,4.60,4.53,4.69
OFF BOARD-The design of off-board facilities,4.38,4.41,4.11,4.33,4.54,4.58
OFF BOARD-The ease of transferring between services,4.66,4.76,4.32,4.38,4.35,4.69
ON BOARD-Accessibility,4.82,4.88,4.65,4.60,4.82,4.77
ON BOARD-Availability of information on-board,4.33,4.65,4.35,4.43,4.54,4.59
ON BOARD-Availability of seating,4.52,4.61,4.42,4.41,4.49,4.64
ON BOARD-Cleanliness on board,4.87,4.76,4.63,4.63,4.69,4.69
ON BOARD-Comfort of the ride,4.66,4.71,4.70,4.64,4.76,4.69
ON BOARD-Comfort on-board,4.72,4.64,4.55,4.47,4.52,4.65
ON BOARD-Cost of the trip,4.93,4.85,4.81,4.80,4.99,4.92
ON BOARD-Feeling safe on board,4.78,4.73,4.74,4.74,4.76,4.80
ON BOARD-Friendliness or helpfulness of the driver,4.73,4.84,4.67,4.69,4.73,4.66
ON BOARD-Journey time,4.59,4.84,4.70,4.50,4.72,4.83
ON BOARD-Punctuality,4.61,4.84,4.57,4.48,4.75,4.82
OVERALL-Experience on last trip,4.56,4.86,4.47,4.61,4.56,4.72
OVERALL-Overall experience with the network,4.45,4.80,4.49,4.62,4.53,4.72
