Categories,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
NETWORK-Availability of information needed to plan a trip,4.66,4.50,4.57,4.49,4.46,4.52
NETWORK-Ease of transferring,,4.45,,4.45,4.27,4.05
NETWORK-Ease of using the service overall,4.82,4.62,4.67,4.64,4.63,4.46
NETWORK-Frequency of services,4.89,4.68,4.56,3.80,4.61,4.40
OFF BOARD-Accessibility of the station / stop / terminal,4.37,4.52,4.65,4.65,4.42,4.43
OFF BOARD-Availability of information at the station / stop / terminal,4.32,4.62,4.64,4.72,4.32,4.52
OFF BOARD-Cleanliness at the station / stop / terminal,4.25,4.19,4.48,4.54,4.19,4.31
OFF BOARD-Convenience of starting location,4.32,4.58,4.70,4.59,4.14,4.37
OFF BOARD-Feeling safe at the station / stop / terminal,4.16,4.46,4.24,4.38,4.09,4.28
OFF BOARD-Helpfulness of staff members,,,,4.43,4.17,4.08
OFF BOARD-The design of off-board facilities,4.02,4.16,4.45,4.33,4.16,4.26
OFF BOARD-The ease of transferring between services,4.16,4.55,4.58,4.65,4.16,4.24
ON BOARD-Accessibility,4.64,4.66,4.71,4.74,4.32,4.49
ON BOARD-Availability of information on-board,4.10,4.56,4.52,4.68,4.44,4.59
ON BOARD-Availability of seating,3.76,3.88,3.82,3.89,3.52,3.77
ON BOARD-Cleanliness on board,4.15,4.33,4.50,4.54,4.16,4.45
ON BOARD-Comfort of the ride,4.27,4.44,4.45,4.60,4.03,4.33
ON BOARD-Comfort on-board,4.11,4.42,4.43,4.33,3.87,4.35
ON BOARD-Cost of the trip,4.83,4.96,4.85,4.94,4.85,4.80
ON BOARD-Feeling safe on board,3.97,4.36,4.40,4.53,3.76,4.39
ON BOARD-Journey time,4.40,4.71,4.67,4.75,4.39,4.43
ON BOARD-Punctuality,4.46,4.63,4.71,4.80,4.55,4.62
OVERALL-Experience on last trip,4.40,4.37,4.31,4.66,4.21,4.44
OVERALL-Overall experience with the network,4.09,4.33,4.23,4.54,4.18,4.37
